Fetching top 500 crates from crates.io API...
    1. syn                            1,522,699,331 downloads
    2. hashbrown                      1,373,368,418 downloads
    3. bitflags                       1,164,264,514 downloads
    4. getrandom                      1,099,395,483 downloads
    5. proc-macro2                    1,051,426,737 downloads
    6. rand_core                      1,042,213,987 downloads
    7. libc                           1,041,483,863 downloads
    8. base64                         1,038,512,360 downloads
    9. quote                          1,033,804,787 downloads
   10. rand                           1,017,389,594 downloads
   11. regex-syntax                   972,157,724 downloads
   12. itertools                      960,306,623 downloads
   13. indexmap                       958,245,425 downloads
   14. cfg-if                         928,032,689 downloads
   15. serde                          908,650,895 downloads
   16. rand_chacha                    876,931,959 downloads
   17. thiserror-impl                 873,266,830 downloads
   18. thiserror                      873,184,607 downloads
   19. memchr                         859,265,576 downloads
   20. serde_derive                   847,327,792 downloads
   21. windows-sys                    846,895,243 downloads
   22. unicode-ident                  843,029,082 downloads
   23. autocfg                        840,626,719 downloads
   24. itoa                           835,695,307 downloads
   25. heck                           821,013,920 downloads
   26. serde_json                     814,432,824 downloads
   27. regex-automata                 811,914,906 downloads
   28. log                            804,017,099 downloads
   29. once_cell                      797,419,476 downloads
   30. cc                             785,628,666 downloads
   31. regex                          755,355,381 downloads
   32. ryu                            754,308,259 downloads
   33. clap                           749,232,790 downloads
   34. smallvec                       744,212,331 downloads
   35. aho-corasick                   741,787,033 downloads
   36. parking_lot_core               731,296,455 downloads
   37. socket2                        731,112,370 downloads
   38. strsim                         709,663,568 downloads
   39. parking_lot                    709,530,581 downloads
   40. rustix                         703,979,020 downloads
   41. lazy_static                    671,247,635 downloads
   42. windows_x86_64_msvc            666,851,981 downloads
   43. num-traits                     666,367,597 downloads
   44. linux-raw-sys                  653,174,941 downloads
   45. version_check                  649,045,464 downloads
   46. bytes                          644,111,080 downloads
   47. either                         643,843,128 downloads
   48. semver                         642,294,120 downloads
   49. windows_x86_64_gnu             640,380,750 downloads
   50. lock_api                       636,152,805 downloads
   51. windows_aarch64_msvc           635,073,573 downloads
   52. mio                            635,005,068 downloads
   53. windows_i686_msvc              634,834,351 downloads
   54. idna                           634,521,708 downloads
   55. windows_i686_gnu               633,255,078 downloads
   56. pin-project-lite               628,235,677 downloads
   57. digest                         624,490,913 downloads
   58. http                           622,783,809 downloads
   59. windows-targets                621,156,687 downloads
   60. anyhow                         612,363,040 downloads
   61. scopeguard                     609,360,124 downloads
   62. block-buffer                   607,563,852 downloads
   63. time                           607,322,841 downloads
   64. miniz_oxide                    600,143,705 downloads
   65. tokio                          596,291,886 downloads
   66. windows_x86_64_gnullvm         593,909,873 downloads
   67. windows_aarch64_gnullvm        593,908,027 downloads
   68. ppv-lite86                     586,478,038 downloads
   69. crossbeam-utils                585,347,226 downloads
   70. hyper                          583,781,419 downloads
   71. rustls                         574,723,321 downloads
   72. percent-encoding               571,551,851 downloads
   73. fastrand                       565,943,606 downloads
   74. slab                           562,740,126 downloads
   75. url                            561,641,254 downloads
   76. toml                           558,693,907 downloads
   77. futures-core                   554,989,856 downloads
   78. generic-array                  553,855,661 downloads
   79. futures-util                   545,075,015 downloads
   80. futures-task                   544,445,392 downloads
   81. byteorder                      543,735,625 downloads
   82. sha2                           540,851,434 downloads
   83. tracing-core                   540,849,328 downloads
   84. http-body                      540,462,307 downloads
   85. clap_lex                       537,400,340 downloads
   86. futures-sink                   533,326,580 downloads
   87. typenum                        533,224,020 downloads
   88. tracing                        531,379,379 downloads
   89. memoffset                      530,746,697 downloads
   90. futures-channel                529,847,959 downloads
   91. unicode-width                  528,524,838 downloads
   92. h2                             527,149,935 downloads
   93. chrono                         525,691,118 downloads
   94. ahash                          520,871,204 downloads
   95. fnv                            520,666,547 downloads
   96. pin-utils                      512,015,795 downloads
   97. tempfile                       511,468,363 downloads
   98. futures-io                     509,063,600 downloads
   99. nix                            504,813,296 downloads
  100. zerocopy                       504,297,683 downloads
  Page 1 done, 100 crates with repos so far
  101. tokio-util                     503,813,792 downloads
  102. uuid                           501,165,947 downloads
  103. errno                          498,583,568 downloads
  104. futures                        498,568,586 downloads
  105. toml_edit                      497,064,412 downloads
  106. cpufeatures                    496,293,874 downloads
  107. form_urlencoded                495,954,100 downloads
  108. wasi                           489,794,912 downloads
  109. winnow                         486,069,188 downloads
  110. pkg-config                     483,031,388 downloads
  111. tokio-rustls                   479,899,361 downloads
  112. rustc_version                  478,448,439 downloads
  113. futures-macro                  474,373,390 downloads
  114. tokio-macros                   473,083,833 downloads
  115. nom                            469,505,743 downloads
  116. equivalent                     468,125,769 downloads
  117. untrusted                      467,452,741 downloads
  118. ring                           465,209,521 downloads
  119. tracing-attributes             462,760,415 downloads
  120. rustls-webpki                  457,688,717 downloads
  121. clap_derive                    456,088,313 downloads
  122. tinyvec                        455,174,683 downloads
  123. num-integer                    454,163,870 downloads
  124. httparse                       453,908,404 downloads
  125. futures-executor               453,569,415 downloads
  126. spin                           450,645,837 downloads
  127. rustc-hash                     448,869,769 downloads
  128. crypto-common                  447,076,961 downloads
  129. shlex                          446,134,802 downloads
  130. signal-hook-registry           442,609,451 downloads
  131. rustversion                    441,323,151 downloads
  132. thread_local                   440,901,742 downloads
  133. num_cpus                       439,236,941 downloads
  134. webpki-roots                   437,035,199 downloads
  135. crc32fast                      435,544,326 downloads
  136. darling_core                   434,082,290 downloads
  137. darling_macro                  434,016,139 downloads
  138. darling                        434,011,149 downloads
  139. flate2                         432,024,786 downloads
  140. clap_builder                   431,252,561 downloads
  141. subtle                         429,649,023 downloads
  142. time-macros                    428,340,263 downloads
  143. async-trait                    427,510,827 downloads
  144. reqwest                        424,307,703 downloads
  145. iana-time-zone                 421,733,535 downloads
  146. env_logger                     419,199,899 downloads
  147. unicode-xid                    418,244,647 downloads
  148. crossbeam-epoch                418,129,226 downloads
  149. anstyle                        418,045,751 downloads
  150. tinyvec_macros                 416,171,075 downloads
  151. object                         416,076,069 downloads
  152. hex                            413,676,979 downloads
  153. toml_datetime                  412,291,239 downloads
  154. strum_macros                   410,333,471 downloads
  155. unicode-normalization          405,456,866 downloads
  156. zeroize                        403,727,303 downloads
  157. strum                          402,689,071 downloads
  158. rustc-demangle                 401,306,325 downloads
  159. want                           400,905,194 downloads
  160. gimli                          400,612,848 downloads
  161. try-lock                       400,000,842 downloads
  162. crossbeam-deque                399,504,738 downloads
  163. tower-service                  399,107,408 downloads
  164. rustls-pemfile                 398,713,868 downloads
  165. mime                           397,945,333 downloads
  166. glob                           396,753,293 downloads
  167. crossbeam-channel              392,974,229 downloads
  168. pin-project                    389,634,585 downloads
  169. pin-project-internal           389,550,977 downloads
  170. anstream                       388,253,407 downloads
  171. synstructure                   386,277,206 downloads
  172. hyper-rustls                   385,476,405 downloads
  173. walkdir                        384,529,616 downloads
  174. time-core                      383,393,509 downloads
  175. sync_wrapper                   383,058,083 downloads
  176. tower                          381,498,089 downloads
  177. termcolor                      381,311,743 downloads
  178. hermit-abi                     380,737,804 downloads
  179. httpdate                       377,966,589 downloads
  180. anstyle-parse                  377,082,357 downloads
  181. anstyle-query                  376,904,601 downloads
  182. num-bigint                     371,728,305 downloads
  183. same-file                      368,977,363 downloads
  184. unicode-bidi                   368,417,960 downloads
  185. arrayvec                       368,104,215 downloads
  186. addr2line                      368,021,597 downloads
  187. colorchoice                    366,987,866 downloads
  188. tracing-subscriber             366,174,508 downloads
  189. backtrace                      365,135,810 downloads
  190. utf8parse                      362,117,572 downloads
  191. openssl-probe                  361,730,528 downloads
  192. prost                          360,370,103 downloads
  193. serde_urlencoded               358,209,147 downloads
  194. stable_deref_trait             356,860,040 downloads
  195. prost-derive                   356,828,648 downloads
  196. paste                          355,066,499 downloads
  197. event-listener                 354,871,230 downloads
  198. ipnet                          352,147,334 downloads
  199. hmac                           350,924,987 downloads
  Page 2 done, 199 crates with repos so far
  200. minimal-lexical                349,877,494 downloads
  201. encoding_rs                    349,580,411 downloads
  202. rayon                          346,674,437 downloads
  203. rayon-core                     343,851,093 downloads
  204. deranged                       343,678,444 downloads
  205. bumpalo                        343,612,799 downloads
  206. unicode-segmentation           342,245,184 downloads
  207. phf_shared                     341,522,427 downloads
  208. tracing-log                    340,099,405 downloads
  209. jobserver                      337,703,863 downloads
  210. proc-macro-crate               335,884,358 downloads
  211. libloading                     335,500,693 downloads
  212. textwrap                       331,541,542 downloads
  213. winapi                         330,376,977 downloads
  214. sharded-slab                   329,982,792 downloads
  215. petgraph                       329,475,615 downloads
  216. humantime                      329,239,621 downloads
  217. rustls-native-certs            328,024,824 downloads
  218. siphasher                      325,127,524 downloads
  219. convert_case                   323,899,666 downloads
  220. zerocopy-derive                322,355,850 downloads
  221. static_assertions              319,198,571 downloads
  222. fixedbitset                    316,583,054 downloads
  223. openssl-sys                    315,251,494 downloads
  224. wasm-bindgen                   314,569,517 downloads
  225. wasm-bindgen-macro             314,114,985 downloads
  226. wasm-bindgen-macro-support     314,039,333 downloads
  227. wasm-bindgen-shared            313,521,739 downloads
  228. serde_spanned                  310,471,421 downloads
  229. nu-ansi-term                   309,224,173 downloads
  230. phf                            306,245,708 downloads
  231. powerfmt                       303,938,657 downloads
  232. which                          301,621,963 downloads
  233. sha1                           300,369,954 downloads
  234. vcpkg                          296,579,107 downloads
  235. tokio-stream                   296,555,728 downloads
  236. prettyplease                   295,301,503 downloads
  237. derive_more                    295,260,993 downloads
  238. tower-layer                    294,968,454 downloads
  239. displaydoc                     293,139,267 downloads
  240. js-sys                         292,223,299 downloads
  241. matchers                       292,092,793 downloads
  242. windows_i686_gnullvm           291,505,320 downloads
  243. num-conv                       289,961,390 downloads
  244. prost-types                    289,410,998 downloads
  245. foreign-types                  287,263,866 downloads
  246. ident_case                     287,259,585 downloads
